DoW,Mon,Hour,Detected,Real
Sunday,10,2,6,277
Thursday,10,0,1,25
Saturday,10,2,1,164
Saturday,10,1,14,257
Wednesday,10,0,2,23
Saturday,10,0,2,31
Sunday,10,1,8,198
Tuesday,10,2,2,59
Thursday,10,0,15,217
Tuesday,10,1,10,188
Saturday,10,1,7,258
Wednesday,10,1,13,223
Saturday,10,1,5,263
Tuesday,10,1,18,226
Monday,10,0,14,357
Sunday,10,1,7,206
Tuesday,10,1,24,241
Tuesday,10,1,18,232
Saturday,10,1,7,189
Saturday,10,0,4,59
Friday,10,1,25,426
Sunday,10,1,13,244
Saturday,10,1,8,329
Saturday,10,1,3,156
Friday,10,0,7,58
Saturday,10,2,5,164
Monday,10,1,6,206
Saturday,10,1,8,230
Thursday,10,1,15,187
Thursday,10,2,6,115
Monday,10,0,2,35
Tuesday,10,0,21,268
Wednesday,10,0,10,256
Monday,10,0,15,167
Saturday,10,1,10,220
Sunday,10,2,3,54
Friday,10,2,6,282
Friday,10,2,3,101
Thursday,10,1,7,244
Sunday,10,1,14,326
Saturday,10,1,12,211
Sunday,10,1,2,74
Wednesday,10,1,9,244
Thursday,10,1,12,198
Saturday,10,2,2,129
Sunday,10,0,4,48
Thursday,10,2,9,174
Friday,10,0,2,45
Friday,10,0,5,37
Sunday,10,1,10,158
Friday,10,1,23,342
Saturday,10,0,4,27
Friday,10,1,9,221
Saturday,10,0,3,78
Friday,10,1,13,293
Saturday,10,0,7,144
Sunday,10,1,7,138
Monday,10,1,14,323
Friday,10,2,10,271
Friday,10,2,15,189
Wednesday,10,1,19,195
Wednesday,10,1,12,229
Saturday,10,1,2,151
Saturday,10,0,6,58
Saturday,10,1,2,125
Monday,10,2,5,178
Sunday,10,0,1,6
Tuesday,10,1,9,206
Thursday,10,0,3,27
Saturday,10,2,10,139
Friday,10,1,17,281
Friday,10,2,13,320
Friday,10,1,18,299
Thursday,10,0,8,71
Saturday,10,2,7,163
Friday,10,2,5,276
Friday,10,0,3,23
Friday,10,1,8,338
Sunday,10,1,17,371
Thursday,10,1,9,327
Friday,10,1,12,455
Wednesday,10,1,22,192
Saturday,10,0,2,37
Friday,10,1,15,269
Friday,10,1,13,283
Thursday,10,2,18,253
Sunday,10,0,2,21
Monday,10,0,6,17
Friday,10,0,4,47
Saturday,10,0,1,22
Monday,10,0,16,283
Wednesday,10,0,2,43
Friday,10,0,10,249
Tuesday,10,0,3,25
Wednesday,10,1,10,237
Tuesday,10,1,10,200
Sunday,10,0,1,18
Friday,10,0,1,38
Tuesday,10,0,7,56
Sunday,10,1,7,190
Saturday,10,1,8,208
Friday,10,1,8,269
Saturday,10,0,1,15
Thursday,10,1,19,246
Thursday,10,0,5,43
Friday,10,1,12,269
Friday,10,2,20,457
Saturday,10,0,2,54
Friday,10,2,13,328
Sunday,10,1,7,261
Tuesday,10,1,11,215
Thursday,10,1,10,214
Saturday,10,2,1,128
Thursday,10,0,4,24
Sunday,10,1,8,157
Monday,10,2,1,65
Sunday,10,0,2,22
Friday,10,0,2,31
Saturday,10,0,3,45
Friday,10,1,11,363
Sunday,10,1,5,203
Friday,10,0,2,20
Saturday,10,0,8,164
Friday,10,1,8,204
Sunday,10,2,1,97
Monday,10,2,17,251
Sunday,10,0,1,34
Monday,10,1,8,198
Saturday,10,1,8,202
Wednesday,10,1,12,228
Thursday,10,0,22,214
Friday,10,1,29,369
Monday,10,0,4,41
Monday,10,0,1,41
Sunday,10,1,2,111
Sunday,10,2,1,97
Monday,10,2,1,56
Saturday,10,1,3,135
Friday,10,1,28,254
Tuesday,10,0,17,157
Wednesday,10,1,9,213
Wednesday,10,2,3,99
Saturday,10,1,6,209
Monday,10,1,15,291
Thursday,10,0,1,29
Thursday,10,0,2,25
Saturday,10,1,1,231
Monday,10,1,17,284
Saturday,10,0,1,29
Saturday,10,0,2,23
Sunday,10,0,1,62
