"";"Fecha";"Calle";"Espiras";"Mobywit"
"437";2016-09-02 03:30:00;"Constitución";26;2
"438";2016-09-02 03:45:00;"Beiro-Andalucía";3;2
"439";2016-09-02 03:45:00;"Dr-Oloriz";0;4
"440";2016-09-02 03:45:00;"Méndez-Núñez";31;3
"441";2016-09-02 04:00:00;"Beiro-Andalucía";4;2
"442";2016-09-02 04:00:00;"Dr-Oloriz";0;6
"443";2016-09-02 04:00:00;"Méndez-Núñez";24;37
"444";2016-09-02 04:15:00;"Beiro-Andalucía";7;3
"445";2016-09-02 04:15:00;"Constitución";8;1
"446";2016-09-02 04:15:00;"Dr-Oloriz";0;5
"447";2016-09-02 04:15:00;"Méndez-Núñez";24;22
"448";2016-09-02 04:30:00;"Constitución";5;2
"449";2016-09-02 04:30:00;"Dr-Oloriz";0;3
"450";2016-09-02 04:30:00;"Méndez-Núñez";23;14
"451";2016-09-02 04:45:00;"Beiro-Andalucía";3;6
"452";2016-09-02 04:45:00;"Dr-Oloriz";0;6
"453";2016-09-02 04:45:00;"Méndez-Núñez";19;23
"454";2016-09-02 05:00:00;"Beiro-Andalucía";4;2
"455";2016-09-02 05:00:00;"Constitución";14;1
"456";2016-09-02 05:00:00;"Dr-Oloriz";0;3
"457";2016-09-02 05:00:00;"Méndez-Núñez";15;15
"458";2016-09-02 05:15:00;"Constitución";15;2
"459";2016-09-02 05:15:00;"Dr-Oloriz";0;5
"460";2016-09-02 05:15:00;"Méndez-Núñez";15;12
